date,ic_lgbm,n
2016-03-18,-0.019232205040739615,891
2016-03-21,0.18506700820667993,892
2016-03-22,0.11034005419936606,883
2016-03-23,0.2289648904582587,886
2016-03-24,0.052075323124453135,890
2016-03-28,0.2122468731774712,890
2016-03-29,0.01277155568994553,889
2016-03-30,0.08453709495034843,891
2016-03-31,0.11136769662275993,895
2016-04-01,0.09546402563976222,896
2016-04-04,0.09650867137960163,890
2016-04-05,-0.020991316785889984,885
2016-04-06,0.07697871659824741,886
2016-04-07,-0.19512723720359945,891
2016-04-08,0.11529312938680336,890
2016-04-11,0.09090681142782214,892
2016-04-12,0.039297098465645976,882
2016-04-13,0.04276822993840375,883
2016-04-14,0.14983845018007225,880
2016-04-15,0.06270436964467369,858
2016-04-18,0.07520505871372313,834
2016-04-19,0.02464796478118055,778
2016-04-20,0.035782418349054865,775
2016-04-21,0.09375648895617045,797
2016-04-22,0.06955480962679303,812
2016-04-25,-0.04190029250112091,780
2016-04-26,-0.0015613718054986625,687
2016-04-27,0.03782399906730551,668
2016-04-28,0.04423211961518061,729
2016-04-29,0.0746515851920002,780
2016-05-02,-0.0902481738293275,797
2016-05-03,0.008307079719354479,749
2016-05-04,0.10313278468161374,750
2016-05-05,-0.17587715240593577,778
2016-05-06,0.03591503292174511,822
2016-05-09,0.025109217806106445,860
2016-05-10,0.07291227315209765,871
2016-05-11,-0.024538616963006372,880
2016-05-12,-0.06493284515194396,885
2016-05-13,0.10897849403999384,891
2016-05-16,0.005710603844882444,884
2016-05-17,0.08099999897195301,873
2016-05-18,0.07076800976004621,870
2016-05-19,0.006658608898584445,878
2016-05-20,-0.020543443970105674,884
2016-05-23,-0.04946871189505592,884
2016-05-24,0.03463834136503344,867
2016-05-25,0.04531912260074029,866
2016-05-26,0.02381654378318542,868
2016-05-27,0.1082037090091777,876
2016-05-31,0.05110492108522837,870
2016-06-01,0.12366633019343877,869
2016-06-02,-0.01237415263880335,875
2016-06-03,0.02366587533593602,873
2016-06-06,0.12945171826016788,869
2016-06-07,-0.15810307570624565,860
2016-06-08,0.010240312849574522,858
2016-06-09,0.05104085182928836,864
2016-06-10,0.02302444324455728,866
2016-06-13,0.12768987968409895,871
2016-06-14,0.036961851102550305,869
2016-06-15,-0.03777784617356615,864
2016-06-16,0.0059172119390570686,859
2016-06-17,0.018998349831320583,859
2016-06-20,0.1595845244656364,874
2016-06-21,-0.016740312525970694,872
2016-06-22,0.033233933377826395,875
2016-06-23,-0.25905769885508934,876
2016-06-24,0.281898241959821,879
2016-06-27,0.16062819771592127,902
2016-06-28,0.2610280732399357,900
2016-06-29,0.07708141405442331,902
2016-06-30,0.11357231709598131,908
2016-07-01,0.03072930005465118,917
2016-07-05,0.1075650689222889,920
2016-07-06,0.1640974948486484,921
2016-07-07,-0.15082487926106614,925
2016-07-08,-0.06541322079837225,922
2016-07-11,-0.011283800790619043,924
2016-07-12,-0.051955577949174596,918
2016-07-13,-0.2029940175626416,917
2016-07-14,0.15763459350546769,911
2016-07-15,0.02720145246459281,887
2016-07-18,0.07071988806513543,867
2016-07-19,0.06300628404673961,812
2016-07-20,0.06270293626745956,800
2016-07-21,0.07987851644872115,814
2016-07-22,0.013188387399352153,823
2016-07-25,0.04456526396399036,789
2016-07-26,0.03846710623626381,689
2016-07-27,0.19546042967512786,680
2016-07-28,0.10089148029027394,734
2016-07-29,0.053502516968831515,794
2016-08-01,-0.03706358918130293,802
2016-08-02,-0.0022291245652471675,750
2016-08-03,0.04357161251894885,759
2016-08-04,-0.16212846582139498,795
2016-08-05,-0.028149504355427908,838
2016-08-08,0.09503359675360011,852
2016-08-09,-0.012118524144598509,853
2016-08-10,0.1689785326613484,871
2016-08-11,0.007031202019493665,883
2016-08-12,-0.09720966146503311,883
2016-08-15,0.09268164530650247,867
2016-08-16,0.07962436673014671,861
2016-08-17,0.007766762256788069,864
2016-08-18,-0.02760008018564962,875
2016-08-19,0.13328348692542769,886
2016-08-22,-0.09028768095750109,887
2016-08-23,0.06095800554103821,876
2016-08-24,0.10049610479129845,877
2016-08-25,0.11264928456854384,875
2016-08-26,0.0917177055738513,884
2016-08-29,0.030334292883239578,870
2016-08-30,0.07464308515132041,863
2016-08-31,-0.04876476793733199,856
2016-09-01,0.008871120227989892,863
2016-09-02,0.08213950923876225,851
2016-09-06,0.08435456009206709,849
2016-09-07,0.07916353110543237,848
2016-09-08,0.09369835577298762,862
2016-09-09,0.04164843458882006,868
2016-09-12,0.16640185219741738,877
2016-09-13,0.07779031563700843,883
2016-09-14,0.02867276780338485,884
2016-09-15,0.10044235878208611,886
2016-09-16,-0.08081189218936057,883
2016-09-19,0.11562641128743678,892
2016-09-20,0.10396525200289915,885
2016-09-21,0.17481993721733552,892
2016-09-22,0.018967309507586114,897
2016-09-23,-0.07787324486258516,900
2016-09-26,-0.06487443297051743,894
2016-09-27,0.03952769553893007,897
2016-09-28,-0.00881830090554589,899
2016-09-29,-0.015367654673222812,901
2016-09-30,-0.024509105693746824,901
2016-10-03,0.03772921677978136,901
2016-10-04,0.021470187906359926,901
2016-10-05,0.039021343935798536,901
2016-10-06,0.0883729205186544,913
2016-10-07,0.022740956619832914,913
2016-10-10,-0.0492279039484337,909
2016-10-11,0.0533495529889372,906
2016-10-12,-0.026768337954212684,896
2016-10-13,0.018520146364818114,892
2016-10-14,-0.03496106391070893,878
2016-10-17,0.09222471046291,859
2016-10-18,0.06587632340782591,816
2016-10-19,-0.10892432247215025,817
2016-10-20,0.11329816632127836,816
2016-10-21,-0.07498083581123567,816
2016-10-24,0.07052737087812717,786
2016-10-25,0.06570391194699249,706
2016-10-26,0.12533429703613266,701
2016-10-27,0.007799503529379534,747
2016-10-28,0.08435414360958979,799
2016-10-31,0.14281865282927853,791
2016-11-01,-0.0287132956270228,745
2016-11-02,0.0717734163808461,748
2016-11-03,-0.05774035438654226,792
2016-11-04,0.0684878470470634,833
2016-11-07,0.037124628800855784,862
2016-11-08,0.03154455133651651,865
2016-11-09,0.18158864015766782,886
2016-11-10,-0.007619571163196872,895
2016-11-11,-0.020841796718883237,909
2016-11-14,-0.02726264445710419,912
2016-11-15,0.08038462631079639,914
2016-11-16,-0.005811211624684871,917
2016-11-17,0.07013645201709935,925
2016-11-18,0.08389388831055913,917
2016-11-21,0.04954186682041565,922
2016-11-22,0.17013049536153754,923
2016-11-23,-0.03945800098409413,938
2016-11-25,-0.06691770872721224,937
2016-11-28,0.04480435041580983,924
2016-11-29,0.19449185773477778,918
2016-11-30,0.3011106652770581,917
2016-12-01,-0.0684341878038113,924
2016-12-02,0.07526593330994728,930
2016-12-05,0.05566550546735926,923
2016-12-06,0.0026642125540393895,913
2016-12-07,0.05242085946237281,915
2016-12-08,0.10505746597107338,928
2016-12-09,-0.00960165329115834,937
2016-12-12,0.13642046019387552,938
2016-12-13,-0.22877344017603124,935
2016-12-14,0.09860637660835651,931
2016-12-15,0.10550210524308959,929
2016-12-16,-0.024956359658554896,927
2016-12-19,0.19331430492857074,952
2016-12-20,0.07649485454674743,954
2016-12-21,0.06893457839251006,954
2016-12-22,-0.01299125171591355,951
2016-12-23,0.11094223183903991,952
2016-12-27,0.008701657601771492,955
2016-12-28,0.02764043930549786,954
2016-12-29,0.1136777332329555,950
2016-12-30,0.21597714066317486,936
2017-01-03,0.04960537804992747,935
2017-01-04,-0.01185231292436247,929
2017-01-05,0.07597277317305154,932
2017-01-06,-0.1277874623572896,935
2017-01-09,0.15726374389008466,939
2017-01-10,0.06627501572401577,937
2017-01-11,0.05373322076297482,934
2017-01-12,0.12295920397259481,933
2017-01-13,-0.03673803534527913,922
2017-01-17,0.051780235541419875,906
2017-01-18,0.19829857489307587,900
2017-01-19,0.0774042802873856,882
2017-01-20,-0.12494437564518478,884
2017-01-23,0.10893815077960291,857
2017-01-24,0.24052659034440566,811
2017-01-25,0.041962569104775076,797
2017-01-26,-0.01484376730357184,832
2017-01-27,-0.06284791791381701,854
2017-01-30,0.01168841594514642,841
2017-01-31,0.1485313775835295,784
2017-02-01,-0.06517029758140798,799
2017-02-02,0.19587829448999858,832
2017-02-03,-0.13168153632623011,860
2017-02-06,0.07089605287621238,858
2017-02-07,-0.09335325881956352,810
2017-02-08,0.18473330077492572,818
2017-02-09,0.23239234657329771,843
2017-02-10,0.05426748951347859,877
2017-02-13,0.08076680099573524,880
2017-02-14,0.05182937337170542,847
2017-02-15,0.055598038847843444,843
2017-02-16,-0.055951039489402166,847
2017-02-17,0.30394065598841297,852
2017-02-21,-0.02087315028382156,842
2017-02-22,0.009693332910369631,831
2017-02-23,-0.11933586301958518,855
2017-02-24,0.08896539055944541,871
2017-02-27,-0.01962042126639335,881
2017-02-28,-0.05633686450947737,878
2017-03-01,0.04596562372887196,895
2017-03-02,0.05783342117528424,916
2017-03-03,-0.11147700033434475,919
2017-03-06,0.0522817361112008,920
2017-03-07,0.1299887022135473,912
2017-03-08,0.030861605602634026,921
2017-03-09,0.16328165444514045,922
2017-03-10,0.059935443239859935,914
2017-03-13,-0.1410830501010938,917
2017-03-14,0.10719178471513394,911
2017-03-15,0.14372950942631674,912
2017-03-16,-0.023205305966935322,908
2017-03-17,-0.05126897729849053,910
2017-03-20,0.17266134911196152,923
2017-03-21,-0.17588420418374223,916
2017-03-22,-0.010213682130543253,925
2017-03-23,0.07925832269068629,925
2017-03-24,-0.21953609798463983,924
2017-03-27,0.030752106976545058,926
2017-03-28,-0.02428282398021485,923
2017-03-29,0.08933921984738286,924
2017-03-30,0.005615540162603815,922
2017-03-31,0.04008209487243586,921
2017-04-03,-0.08154444760474525,922
2017-04-04,0.2012868327774405,914
2017-04-05,0.07920744001450537,912
2017-04-06,-0.27614461494194376,915
2017-04-07,-0.027663368111032573,920
2017-04-10,-0.0438465921550491,920
2017-04-11,0.04740395407316211,911
2017-04-12,-0.09262886508876295,908
2017-04-13,0.1517111821897179,898
2017-04-17,-0.21789222927357033,895
2017-04-18,0.12682175664729506,849
2017-04-19,0.13038592383914926,850
2017-04-20,-0.03129124935090191,861
2017-04-21,0.01556560262205405,859
2017-04-24,0.1723711936147737,813
2017-04-25,-0.07787298126173572,722
2017-04-26,0.017220741116970244,704
2017-04-27,0.07285679318073329,764
2017-04-28,0.15497737391032096,817
2017-05-01,-0.024327460601841516,812
2017-05-02,-0.024820315233292745,739
2017-05-03,-0.0070685367300333535,757
2017-05-04,0.14603772701297452,810
2017-05-05,-0.04060435430589097,864
2017-05-08,0.010855493274752818,881
2017-05-09,0.06706432832967678,883
2017-05-10,0.011117739313839383,905
2017-05-11,0.03910121108657785,928
2017-05-12,0.1745788585908371,927
2017-05-15,0.04248347387488826,914
2017-05-16,0.016166400234749443,917
